city,date,temperature,feels_like,humidity,description,wind_speed
Istanbul,2024-08-01,24.6,24.7,63,partly cloudy,5.0
Istanbul,2024-08-02,25.0,26.0,67,clear sky,4.33
Istanbul,2024-08-03,25.9,28.5,67,clear sky,2.03
Istanbul,2024-08-04,27.2,28.5,58,partly cloudy,3.17
Istanbul,2024-08-05,25.4,26.6,70,overcast clouds,4.53
Istanbul,2024-08-06,25.9,27.8,63,mainly clear,2.31
Istanbul,2024-08-07,24.3,24.9,66,moderate drizzle,4.39
Istanbul,2024-08-08,24.5,25.1,66,light drizzle,4.19
Istanbul,2024-08-09,26.0,26.7,64,light drizzle,4.69
Istanbul,2024-08-10,26.2,26.9,64,light drizzle,5.0
Istanbul,2024-08-11,26.6,27.3,66,clear sky,5.75
Istanbul,2024-08-12,26.5,27.8,69,mainly clear,5.44
Istanbul,2024-08-13,26.8,27.7,66,clear sky,5.44
Istanbul,2024-08-14,27.5,27.4,63,clear sky,7.5
Istanbul,2024-08-15,26.3,26.1,62,clear sky,6.42
Istanbul,2024-08-16,25.3,24.9,62,mainly clear,5.97
Istanbul,2024-08-17,25.5,24.4,55,clear sky,6.17
Istanbul,2024-08-18,25.4,25.3,59,overcast clouds,4.89
Istanbul,2024-08-19,24.8,27.0,68,light drizzle,1.83
Istanbul,2024-08-20,24.6,26.8,71,clear sky,2.47
Istanbul,2024-08-21,24.7,26.4,76,light drizzle,4.0
Istanbul,2024-08-22,25.7,28.3,72,mainly clear,2.75
Istanbul,2024-08-23,26.1,27.9,71,clear sky,4.25
Istanbul,2024-08-24,26.3,27.3,65,partly cloudy,4.72
Istanbul,2024-08-25,25.4,25.3,62,overcast clouds,5.36
Istanbul,2024-08-26,26.3,27.1,66,overcast clouds,5.17
Istanbul,2024-08-27,25.2,25.7,67,light drizzle,5.11
Istanbul,2024-08-28,24.4,26.0,69,overcast clouds,2.5
Istanbul,2024-08-29,24.4,26.4,70,light drizzle,2.08
Istanbul,2024-08-30,23.2,24.8,76,moderate rain,3.14
Istanbul,2024-08-31,23.6,25.5,73,light drizzle,2.64
Istanbul,2024-09-01,23.4,25.3,78,moderate rain,3.19
Istanbul,2024-09-02,22.6,25.3,84,moderate rain,1.86
Istanbul,2024-09-03,23.9,27.3,81,light drizzle,1.42
Istanbul,2024-09-04,24.6,26.8,78,light drizzle,3.58
Istanbul,2024-09-05,24.0,25.3,69,clear sky,3.19
Istanbul,2024-09-06,23.5,24.3,66,mainly clear,2.86
Istanbul,2024-09-07,23.1,24.0,73,light drizzle,3.72
Istanbul,2024-09-08,22.1,22.6,76,light drizzle,4.31
Istanbul,2024-09-09,22.8,23.6,70,light drizzle,3.19
Istanbul,2024-09-10,24.1,25.8,71,overcast clouds,2.58
Istanbul,2024-09-11,24.0,25.7,74,light drizzle,3.08
Istanbul,2024-09-12,24.2,25.7,71,light drizzle,3.33
Istanbul,2024-09-13,24.9,27.0,70,partly cloudy,2.17
Istanbul,2024-09-14,26.6,27.3,59,overcast clouds,4.03
Istanbul,2024-09-15,22.2,23.4,77,light rain,3.22
Istanbul,2024-09-16,20.5,21.1,72,moderate drizzle,2.25
Istanbul,2024-09-17,20.6,20.1,73,moderate drizzle,4.42
Istanbul,2024-09-18,20.7,20.4,74,moderate drizzle,4.06
Istanbul,2024-09-19,20.6,19.4,64,light drizzle,4.44
Istanbul,2024-09-20,20.4,20.0,73,moderate drizzle,4.08
Istanbul,2024-09-21,19.8,19.0,75,heavy rain,4.58
Istanbul,2024-09-22,20.9,19.1,57,dense drizzle,4.42
Istanbul,2024-09-23,19.9,20.4,75,moderate drizzle,2.19
Istanbul,2024-09-24,20.3,21.5,78,light drizzle,1.72
Istanbul,2024-09-25,21.1,21.8,72,mainly clear,2.44
Istanbul,2024-09-26,21.2,21.8,75,overcast clouds,2.94
Istanbul,2024-09-27,21.4,22.2,79,overcast clouds,3.5
Istanbul,2024-09-28,22.4,24.2,81,overcast clouds,3.06
Istanbul,2024-09-29,21.9,24.3,86,moderate rain,2.31
Istanbul,2024-09-30,17.1,15.2,76,heavy rain,5.42
Istanbul,2024-10-01,16.6,13.9,57,overcast clouds,4.11
Istanbul,2024-10-02,17.9,16.6,63,overcast clouds,2.92
Istanbul,2024-10-03,18.5,19.0,79,light drizzle,2.06
Istanbul,2024-10-04,21.4,21.5,68,clear sky,2.92
Istanbul,2024-10-05,23.5,24.5,63,overcast clouds,1.86
Istanbul,2024-10-06,21.8,23.4,79,moderate rain,2.36
Istanbul,2024-10-07,19.4,19.5,78,light rain,3.36
Istanbul,2024-10-08,18.7,17.7,69,overcast clouds,3.58
Istanbul,2024-10-09,19.5,19.6,75,overcast clouds,3.0
Istanbul,2024-10-10,21.6,22.3,75,light drizzle,3.22
Istanbul,2024-10-11,22.5,23.5,75,overcast clouds,3.36
Istanbul,2024-10-12,19.9,19.9,81,moderate drizzle,4.33
Istanbul,2024-10-13,16.8,15.5,79,overcast clouds,4.33
Istanbul,2024-10-14,16.3,15.8,77,overcast clouds,2.22
Istanbul,2024-10-15,16.7,15.6,77,overcast clouds,3.61
Istanbul,2024-10-16,15.7,13.8,80,light drizzle,4.72
Istanbul,2024-10-17,13.7,10.1,69,light drizzle,5.83
Istanbul,2024-10-18,12.9,9.5,65,light drizzle,4.72
Istanbul,2024-10-19,12.7,10.1,70,dense drizzle,3.39
Istanbul,2024-10-20,12.8,10.0,70,partly cloudy,4.06
Istanbul,2024-10-21,13.3,10.4,67,light drizzle,4.14
Istanbul,2024-10-22,14.0,11.8,71,overcast clouds,3.44
Istanbul,2024-10-23,14.2,12.2,76,overcast clouds,3.61
Istanbul,2024-10-24,14.7,12.7,76,overcast clouds,4.0
Istanbul,2024-10-25,14.9,12.5,77,light drizzle,5.11
Istanbul,2024-10-26,14.1,11.7,72,partly cloudy,4.19
Istanbul,2024-10-27,14.8,12.7,78,mainly clear,4.47
Istanbul,2024-10-28,14.8,14.3,80,overcast clouds,1.72
Istanbul,2024-10-29,14.8,13.4,82,overcast clouds,3.56
Istanbul,2024-10-30,15.2,12.4,69,light drizzle,4.97
Istanbul,2024-10-31,15.2,12.4,64,overcast clouds,4.56
Istanbul,2024-11-01,14.3,12.4,77,overcast clouds,3.75
Istanbul,2024-11-02,14.0,13.6,88,overcast clouds,2.0
Istanbul,2024-11-03,13.2,9.5,69,moderate drizzle,5.83
Istanbul,2024-11-04,11.6,9.0,56,overcast clouds,1.78
Istanbul,2024-11-05,11.5,7.3,57,overcast clouds,4.83
Istanbul,2024-11-06,11.8,7.4,54,overcast clouds,5.11
Istanbul,2024-11-07,13.1,9.3,66,mainly clear,5.56
Istanbul,2024-11-08,13.8,10.6,72,mainly clear,5.28
Istanbul,2024-11-09,12.9,9.4,73,overcast clouds,5.47
Istanbul,2024-11-10,11.5,7.9,77,overcast clouds,5.58
Istanbul,2024-11-11,13.2,11.0,80,light drizzle,4.03
Istanbul,2024-11-12,13.7,11.5,80,light drizzle,4.39
Istanbul,2024-11-13,13.3,11.8,84,light drizzle,3.28
Istanbul,2024-11-14,13.2,11.6,82,overcast clouds,3.14
Istanbul,2024-11-15,12.5,10.6,89,moderate drizzle,4.03
Istanbul,2024-11-16,10.7,6.4,70,light drizzle,6.11
Istanbul,2024-11-17,11.8,8.8,72,overcast clouds,4.31
Istanbul,2024-11-18,11.6,10.5,85,dense drizzle,1.64
Istanbul,2024-11-19,11.2,9.8,77,overcast clouds,1.17
Istanbul,2024-11-20,13.8,10.9,75,overcast clouds,5.17
Istanbul,2024-11-21,14.4,10.6,73,moderate rain,7.11
Istanbul,2024-11-22,12.6,10.0,75,overcast clouds,4.25
Istanbul,2024-11-23,10.5,6.1,74,heavy rain,6.75
Istanbul,2024-11-24,6.0,1.2,64,moderate snow,4.97
Istanbul,2024-11-25,6.6,3.0,66,light drizzle,3.11
Istanbul,2024-11-26,8.5,6.0,65,overcast clouds,1.56
Istanbul,2024-11-27,10.1,7.5,72,light drizzle,2.78
Istanbul,2024-11-28,10.1,8.6,80,overcast clouds,1.25
Istanbul,2024-11-29,10.3,8.8,81,overcast clouds,1.39
Istanbul,2024-11-30,11.6,9.0,71,overcast clouds,3.42
Istanbul,2024-12-01,11.6,8.0,80,light drizzle,6.06
Istanbul,2024-12-02,11.2,8.3,82,moderate rain,4.69
Istanbul,2024-12-03,10.5,8.1,86,dense drizzle,3.72
Istanbul,2024-12-04,9.6,7.5,91,light rain,3.03
Istanbul,2024-12-05,10.0,7.8,85,light drizzle,2.97
Istanbul,2024-12-06,10.0,7.9,82,overcast clouds,2.44
Istanbul,2024-12-07,12.3,10.1,76,light drizzle,3.36
Istanbul,2024-12-08,12.4,10.7,81,dense drizzle,2.86
Istanbul,2024-12-09,14.1,12.4,85,heavy rain,4.14
Istanbul,2024-12-10,13.6,12.2,89,moderate rain,3.83
Istanbul,2024-12-11,10.1,8.2,87,moderate rain,2.61
