time,weather_code (wmo code),temperature_2m_mean (°C),apparent_temperature_mean (°C),relative_humidity_2m_mean (%),wind_speed_10m_mean (km/h)
2020-07-08,63,25.5,30.8,90,4.1
2020-07-09,53,25.5,30.3,86,4.5
2020-07-10,55,25.1,29.7,86,4.6
2020-07-11,63,26.2,30.9,81,6.1
2020-07-12,63,26.4,31.4,84,5.8
2020-07-13,63,24.5,28.7,87,5.0
2020-07-14,53,26.1,30.4,80,7.3
2020-07-15,61,26.2,31.4,85,4.5
2020-07-16,63,26.4,31.9,86,3.6
2020-07-17,61,26.7,32.2,85,4.3
2020-07-18,65,26.5,32.0,86,3.8
2020-07-19,61,26.5,31.9,85,4.5
2020-07-20,61,26.9,32.2,83,5.7
2020-07-21,61,27.0,32.4,83,5.3
2020-07-22,65,26.1,31.3,86,5.2
2020-07-23,63,26.2,31.5,86,4.1
2020-07-24,63,26.2,31.4,85,4.6
2020-07-25,63,26.5,31.8,87,5.7
2020-07-26,63,26.7,31.8,84,6.3
2020-07-27,53,26.4,31.1,83,6.4
2020-07-28,61,26.2,30.8,83,6.4
2020-07-29,53,25.7,30.5,85,4.5
2020-07-30,3,27.4,32.1,76,5.4
2020-07-31,63,26.3,31.2,84,5.2
2020-08-01,51,27.2,32.0,81,7.4
2020-08-02,51,26.9,32.0,83,5.6
2020-08-03,51,27.5,32.4,81,8.0
2020-08-04,51,26.8,31.6,82,6.5
2020-08-05,51,27.3,32.1,81,7.1
2020-08-06,51,27.6,32.4,78,6.5
2020-08-07,3,28.0,33.3,80,5.9
2020-08-08,51,28.2,33.4,77,6.4
2020-08-09,51,28.3,33.4,75,4.9
2020-08-10,53,28.3,33.4,74,5.1
2020-08-11,55,27.6,32.7,80,6.6
2020-08-12,65,26.4,31.4,85,5.5
2020-08-13,51,27.1,32.1,80,5.2
2020-08-14,53,27.0,31.8,81,6.3
2020-08-15,53,27.1,32.5,81,3.7
2020-08-16,63,26.0,31.4,87,4.8
2020-08-17,61,26.4,31.6,83,4.5
2020-08-18,65,26.2,31.0,84,6.2
2020-08-19,63,26.6,32.0,84,4.3
2020-08-20,53,27.2,32.5,80,4.7
2020-08-21,61,27.7,32.7,78,6.5
2020-08-22,61,26.5,31.8,86,5.8
2020-08-23,63,26.0,31.3,88,5.9
2020-08-24,51,27.1,32.2,80,5.4
2020-08-25,61,26.5,31.4,83,5.8
2020-08-26,53,27.0,32.1,81,6.3
2020-08-27,51,27.0,32.0,81,5.4
2020-08-28,61,27.3,32.4,81,6.0
2020-08-29,63,26.5,31.9,85,4.6
2020-08-30,63,26.9,32.5,86,5.1
2020-08-31,61,26.9,32.5,87,5.4
2020-09-01,61,26.5,31.7,87,6.9
2020-09-02,63,26.8,32.2,84,5.2
2020-09-03,55,26.6,32.1,85,4.0
2020-09-04,63,25.9,31.1,87,4.9
2020-09-05,55,25.7,30.6,88,5.5
2020-09-06,51,26.4,31.4,82,4.1
2020-09-07,61,27.4,32.1,78,6.2
2020-09-08,63,27.1,32.6,83,5.5
2020-09-09,65,26.5,32.0,85,4.8
2020-09-10,63,25.8,30.9,88,5.5
2020-09-11,63,26.2,31.2,84,4.3
2020-09-12,63,25.8,31.2,88,4.1
